year,googleknowlege_occupation,show,group,raw_guest_list
2002,actor,7/23/02,acting,tim blake nelson
2002,actor,7/24/02,acting,steven weber
2002,actor,7/25/02,acting,seth green
2002,actress,7/29/02,acting,cynthia nixon
2002,actor,7/30/02,acting,robert wagner
2002,comedian,7/31/02,comedy,martin lawrence
2002,actor,7/8/02,acting,adam sandler
2002,journalist,7/9/02,media,john king
2002,actor,8/1/02,acting,mike myers
2002,actor,8/12/02,acting,michael c. hall
2002,critic,8/13/02,media,scott ritter
2002,actor,8/14/02,acting,kevin nealon
2002,journalist,8/15/02,media,rich eisen
2002,actor,8/19/02,acting,denis leary
2002,journalist,8/20/02,media,jim lehrer
2002,actor,8/21/02,acting,robin williams
2002,actor,8/22/02,acting,matthew perry
2002,us senator,8/5/02,politician,charles schumer
2002,actor,8/6/02,acting,antonio banderas
2002,actor,8/7/02,acting,vin diesel
2002,actor,8/8/02,acting,paul rudd
2002,actor,9/10/02,acting,zach braff
2002,author,9/12/02,media,sarah vowell
2002,journalist,9/16/02,media,john miller
2002,actor,9/17/02,acting,jason lee
2002,actor,9/18/02,acting,damon wayans
2002,actor,9/19/02,acting,djimon hounsou
2002,actress,9/24/02,acting,kate hudson
2002,white house sommunications director,9/25/02,political aide,george stephanopoulos
2002,actress,9/26/02,acting,goldie hawn
2002,actress,9/30/02,acting,bonnie hunt
2002,actress,9/9/02,acting,lorraine bracco
2003,actress,1/13/03,acting,kathy bates
2003,filmmaker,1/14/03,media,michael moore
2003,comedian,1/15/03,comedy,dave chappelle
2003,former us senator,1/16/03,politician,joseph lieberman
2003,television host,1/20/03,media,merv griffin
2003,television producer,1/21/03,media,simon cowell
2003,actor,1/22/03,acting,john c. reilly
2003,television host,1/23/03,media,jimmy kimmel
2003,actress,1/27/03,acting,rosie perez
2003,actor,1/28/03,acting,sam rockwell
2003,journalist,1/29/03,media,jeff greenfield
2003,actor,1/30/03,acting,laurence fishburne
2003,actress,1/7/03,acting,cameron diaz
2003,actor,1/8/03,acting,ray liotta
2003,actor,1/9/03,acting,philip seymour hoffman
2003,actress,10/1/03,acting,vivica a. fox
2003,actor,10/2/03,acting,rob lowe
2003,former national security advisio\r,10/20/03,government,henry kissinger
2003,actress,10/21/03,acting,angelina jolie
2003,writer,10/22/03,media,walter isaacson
2003,actor,10/23/03,acting,anthony hopkins
2003,actor,10/27/03,acting,ted danson
2003,comedian,10/28/03,comedy,wanda sykes
2003,stand-up comedian,10/29/03,comedy,norm macdonald
2003,novelist,10/30/03,media,neal pollack
2003,filmmaker,10/6/03,media,michael moore
2003,actor,10/7/03,acting,ronny cox marc singer robert amstler arianna huffington
2003,us senator,10/8/03,politician,sen. hillary clinton
2003,actor,10/9/03,acting,tim robbins
2003,actor,11/10/03,acting,will ferrell
2003,actor,11/11/03,acting,peter dinklage
2003,rapper,11/12/03,musician,wyclef jean
2003,actor,11/13/03,acting,brendan fraser
2003,model,11/17/03,media,heidi klum
2003,writer,11/18/03,media,bernard goldberg
2003,actor,11/19/03,acting,james spader
2003,actor,11/20/03,acting,billy bob thornton
2003,na,11/24/03,na,who are the daily show? special
2003,actor,11/3/03,acting,kyle maclachlan
2003,historian,11/4/03,academic,michael beschloss
2003,stand-up comedian,11/5/03,comedy,bob newhart
2003,actor,11/6/03,acting,colin firth
2003,actor,12/1/03,acting,adam goldberg
2003,us senator,12/10/03,politician,sen. zell miller
2003,political figure,12/11/03,politician,gen. wesley clark
2003,actress,12/15/03,acting,maggie gyllenhaal
2003,actor,12/16/03,acting,ben affleck
2003,actress,12/17/03,acting,julia stiles
2003,actress,12/18/03,acting,natalie portman
2003,us senator,12/2/03,politician,sen. tom daschle
2003,radio host,12/3/03,media,alan colmes
2003,radio host,12/3/03,media,sean hannity
2003,actor,12/4/03,acting,alec baldwin
2003,actress,12/8/03,acting,eva mendes
2003,actor,12/9/03,acting,steve buscemi
2003,journalist,2/10/03,media,joe klein
2003,actress,2/11/03,acting,bebe neuwirth
2003,actor,2/12/03,acting,michael clarke duncan
2003,actor,2/13/03,acting,ben affleck
2003,journalist,2/18/03,media,steve kroft
2003,actor,2/19/03,acting,jeff daniels
2003,actor,2/20/03,acting,luke wilson
2003,pastor,2/3/03,clergy,doug wilson
2003,actress,2/4/03,acting,kate hudson
2003,author,2/5/03,media,arianna huffington
2003,commentator,2/6/03,media,david frum
2003,correspondent,3/10/03,media,les gelb
2003,stand-up comedian,3/11/03,comedy,colin quinn
2003,former majority leader,3/12/03,politician,dick gephardt
2003,actor,3/13/03,acting,tom cavanagh
2003,historian,3/17/03,academic,eric alterman
2003,actor,3/18/03,acting,jason lee
2003,foreign policy expert,3/19/03,academic,john hulsman
2003,actor,3/20/03,acting,eddie griffin
2003,editor,3/24/03,media,jim kelly
2003,actress,3/25/03,acting,connie nielsen
2003,musician,3/26/03,musician,ringo starr
2003,actress,3/27/03,acting,hilary swank
2003,comedian,3/3/03,comedy,eric idle
2003,comedian,3/31/03,comedy,chris rock
2003,writer,3/4/03,media,walter isaacson
2003,actor,3/5/03,acting,adrien brody
2003,stand-up comedian,3/6/03,comedy,david cross (show hosted by stephen colbert)
2003,writer,4/1/03,media,anthony swofford
2003,stand-up comedian,4/10/03,comedy,dennis miller
2003,actress,4/2/03,acting,kelly preston
2003,film actor,4/21/03,acting,patrick stewart
2003,film actress,4/22/03,acting,rachel weisz
2003,comedian,4/23/03,comedy,richard lewis
2003,journalist,4/24/03,media,fareed zakaria
2003,neurosurgeon,4/28/03,science,dr sanjay gupta
2003,actress,4/29/03,acting,julia louis-dreyfus
2003,actor,4/3/03,acting,colin farrell
2003,actor,4/30/03,acting,john malkovich
2003,political psychologist,4/7/03,consultant,martha burk
2003,actress,4/8/03,acting,susan sarandon
2003,lawyer,4/9/03,misc,ambassador david scheffer
2003,actress,5/1/03,acting,famke janssen
2003,singer,5/12/03,musician,randy jackson
2003,actor,5/13/03,acting,joshua jackson
2003,historian,5/14/03,academic,diane ravitch
2003,journalist,5/15/03,media,michael kinsley
2003,na,5/26/03,na,iraq - a look baq (or how we learned to stop reporting and love the war)
2003,na,5/26/03,na,iraq - a look baq (or how we learned to stop reporting and love the war)
2003,commentator,5/27/03,media,william kristol
2003,journalist,5/28/03,media,lisa ling
2003,journalist,5/29/03,media,david halberstam
2003,commentator,5/5/03,media,chris matthews
2003,author,5/6/03,media,caroline kennedy
2003,television presenter,5/7/03,media,graham norton
2003,actor,5/8/03,acting,paul rudd
2003,former u.s. representative,6/10/03,politician,newt gingrich
2003,journalist,6/11/03,media,sidney blumenthal
2003,rapper,6/12/03,musician,ludacris
2003,actor,6/16/03,acting,harrison ford
2003,writer,6/17/03,media,lewis lapham
2003,singer-songwriter,6/18/03,musician,kelly clarkson
2003,actor,6/19/03,acting,ron livingston
2003,journalist,6/2/03,media,bill hemmer
2003,stand-up comedian,6/3/03,comedy,eddie izzard
2003,former united states secretary of state,6/4/03,politician,madeleine albright
2003,singer,6/5/03,musician,tyrese gibson
2003,na,6/8/03,na,looking beyond the show
2003,actor,6/9/03,acting,guy pearce
2003,american television personality,7/10/03,media,carson daly
2003,actress,7/14/03,acting,angelina jolie
2003,former us senator,7/15/03,politician,gary hart
2003,actor,7/16/03,acting,rowan atkinson
2003,comedian,7/17/03,comedy,martin lawrence
2003,actress,7/21/03,acting,gabrielle union
2003,actor,7/22/03,acting,scott glenn
2003,author,7/23/03,media,dick morris
2003,diplomat,7/24/03,government,joseph c. wilson
2003,television producer,7/28/03,media,paul teutul sr. paul teutul jr.
2003,designer,7/28/03,media,paul teutul sr. paul teutul jr.
2003,journalist,7/29/03,media,brian williams
2003,actress,7/30/03,acting,alyson hannigan
2003,broadcaster,7/31/03,media,soledad o'brien
2003,former white house press secretary,7/8/03,political aide,tony snow
2003,author,7/9/03,media,erica jong
2003,actor,8/11/03,acting,samuel l. jackson
2003,actress,8/12/03,acting,kim cattrall
2003,actor,8/13/03,acting,paul giamatti
2003,-,8/14/03,na,again, a look back
2003,columnist,8/18/03,media,jim hightower
2003,actress,8/19/03,acting,cynthia nixon
2003,puzzle creator,8/20/03,media,will shortz
2003,former us representative,8/21/03,politician,dennis kucinich
2003,actor,8/4/03,acting,denis leary
2003,musician,8/5/03,musician,john popper
2003,actor,8/6/03,acting,robert duvall
2003,television actress,8/7/03,acting,tracey ullman
2003,na,9/1/03,na,i'm a correspondent, please don't fire me!
2003,actress,9/10/03,acting,kate beckinsale
2003,na,9/11/03,na,no guest
2003,us senator,9/15/03,politician,sen. john edwards
2003,actor,9/15/03,acting,cuba gooding, jr.
2003,former united states secretary of state,9/16/03,politician,madeleine albright
2003,actor,9/17/03,acting,charlie sheen
2003,actress,9/18/03,acting,christina ricci
2003,actor,9/23/03,acting,michael caine
2003,actor,9/24/03,acting,ben stiller
2003,columnist,9/25/03,media,jonah goldberg
2003,actor,9/29/03,acting,jack black
2003,former us representative,9/30/03,politician,joe scarborough
2003,united states senator,9/9/03,politician,al franken
2004,comedian,1/12/04,comedy,richard lewis
2004,scientist,1/13/04,science,catherine weitz
2004,former us senator,1/14/04,politician,carol moseley-braun
2004,vice president,1/15/04,politician,joe biden
2004,actor,1/19/04,acting,philip seymour hoffman
2004,comedian,1/20/04,comedy,jeff garlin
2004,us senator,1/21/04,politician,sen. john mccain
2004,actress,1/22/04,acting,erika christensen
2004,writer,1/26/04,media,ken auletta
2004,political scientist,1/27/04,consultant,richard perle
2004,former governor of new jersey,1/28/04,politician,christine todd whitman
2004,actor,1/29/04,acting,kelsey grammer
2004,journalist,1/6/04,media,tom brokaw
2004,actor,1/7/04,acting,elijah wood
2004,actress,1/8/04,acting,charlize theron
2004,us representative,10/18/04,politician,ed koch
2004,actress,10/19/04,acting,marisa tomei
2004,journalist,10/20/04,media,fareed zakaria
2004,actor,10/21/04,acting,billy crudup
2004,former united states secretary of state,10/25/04,politician,madeleine albright
2004,former governor of nebraska,10/26/04,politician,bob kerrey
2004,civil rights activist,10/27/04,advocacy,jesse jackson
2004,author,10/28/04,media,john zogby
2004,social activist,10/4/04,advocacy,bishop desmond tutu
2004,actor,10/5/04,acting,billy bob thornton
2004,journalist,10/6/04,media,bob schieffer
2004,television host,10/7/04,media,bill o'reilly
2004,television host,11/1/04,media,chris wallace
2004,author,11/10/04,media,tom wolfe
2004,analyst,11/11/04,consultant,kenneth pollack
2004,former us senator,11/15/04,politician,kay bailey hutchison
2004,journalist,11/16/04,media,tom brokaw
2004,historian,11/17/04,academic,thomas frank
2004,actor,11/18/04,acting,woody harrelson
2004,former govrnor of masssachusetts,11/2/04,politician,william weld & al sharpton
2004,minister,11/2/04,clergy,william weld & al sharpton
2004,actor,11/29/04,acting,jude law
2004,us senator,11/3/04,politician,sen. charles schumer
2004,journalist,11/30/04,media,brian williams
2004,commentator,11/4/04,media,william kristol
2004,businessman,11/9/04,business,richard branson
2004,author,12/1/04,media,christopher hitchens
2004,actor,12/13/04,acting,kevin spacey
2004,diplomat,12/14/04,government,dore gold
2004,comedian,12/15/04,comedy,billy connolly
2004,journalist,12/16/04,media,katie couric
2004,author,12/2/04,media,stephen king
2004,actress,12/6/04,acting,isabella rossellini
2004,baseball player,12/7/04,athletics,paul o'neill
2004,writer,12/8/04,media,seth mnookin
2004,actress,12/9/04,acting,kate bosworth
2004,comedian,2/10/04,comedy,dave chappelle
2004,actor,2/11/04,acting,paul rudd
2004,actress,2/12/04,acting,drew barrymore
2004,singer,2/2/04,musician,randy jackson
2004,television personality,2/23/04,media,tyra banks
2004,writer,2/24/04,media,john podhoretz
2004,singer-songwriter,2/25/04,musician,norah jones
2004,actor,2/26/04,acting,samuel l. jackson
2004,business magnate,2/3/04,business,donald trump
2004,american politician,2/4/04,politician,bob dole
2004,film actor,2/5/04,acting,noah wyle
2004,journalist,2/9/04,media,charles lewis
2004,television actress,3/1/04,acting,edie falco
2004,comedian,3/10/04,comedy,george carlin
2004,journalist,3/11/04,media,paula zahn
2004,us senator,3/15/04,politician,sen. charles schumer
2004,television personality,3/16/04,media,john stossel
2004,actor,3/17/04,acting,mekhi phifer
2004,actor,3/18/04,acting,ethan hawke
2004,journalist,3/2/04,media,mark ebner
2004,trumpeter,3/22/04,musician,wynton marsalis
2004,actor,3/23/04,acting,tom hanks
2004,actor,3/24/04,acting,jamie foxx
2004,united states senator,3/25/04,politician,al franken
2004,actress,3/29/04,acting,jennifer beals
2004,former mayor of new york,3/3/04,politician,rudolph giuliani
2004,adviser,3/30/04,consultant,richard a. clarke
2004,public official,3/31/04,government,karen hughes
2004,actor,3/4/04,acting,willem dafoe
2004,actor,3/8/04,acting,val kilmer
2004,political figure,3/9/04,politician,ed gillespie
2004,stunt perfomrer,4/1/04,acting,johnny knoxville
2004,singer-songwriter,4/19/04,musician,melissa etheridge
2004,actor,4/20/04,acting,mark ruffalo
2004,television host,4/21/04,media,john gibson
2004,author,4/22/04,media,arianna huffington
2004,former governor of nebraska,4/26/04,politician,bob kerrey
2004,actress,4/27/04,acting,rebecca romijn
2004,journalist,4/28/04,media,fareed zakaria
2004,journalist,4/29/04,media,bob woodward
2004,comedian,4/5/04,comedy,jerry seinfeld
2004,actor,4/6/04,acting,matthew perry and bruce willis
2004,actor,4/6/04,acting,matthew perry and bruce willis
2004,actor,4/7/04,acting,tim robbins
2004,actor,4/8/04,acting,jason bateman
2004,us senator,5/10/04,politician,sen. john mccain
2004,journalist,5/11/04,media,tim russert
2004,american political figure,5/12/04,politician,ken mehlman
2004,commentator,5/13/04,media,william kristol
2004,film actress,5/3/04,acting,janeane garofalo
2004,diplomat,5/4/04,government,joseph c. wilson
2004,basketball player,5/5/04,athletics,kareem abdul-jabbar
2004,actor,5/6/04,acting,andy richter
2004,stand-up comedian,6/1/04,comedy,david cross
2004,actress,6/10/04,acting,jennifer love hewitt
2004,actor,6/14/04,acting,stanley tucci
2004,physician,6/15/04,science,hassan ibrahim
2004,former united states secretary of labor,6/16/04,politician,robert reich
2004,television presenter,6/17/04,media,graham norton
2004,journalist,6/2/04,media,thomas friedman
2004,columnist,6/21/04,media,stephen f. hayes
2004,actress,6/22/04,acting,ashley judd
2004,actor,6/23/04,acting,kevin kline
2004,filmmaker,6/24/04,media,michael moore
2004,governor of virginia,6/28/04,politician,terry mcauliffe
2004,author,6/29/04,media,edward conlon
2004,former governor of new york,6/3/04,politician,mario cuomo
2004,journalist,6/30/04,media,calvin trillin
2004,author,6/7/04,media,donna brazile
2004,commentator,6/8/04,media,david brooks
2004,documentary filmmaker,6/9/04,media,morgan spurlock
2004,journalist,7/12/04,media,wolf blitzer
2004,journalist,7/13/04,media,michael isikoff
2004,author,7/14/04,media,sarah vowell
2004,actor,7/15/04,acting,sacha baron cohen
2004,former governor of new mexico,7/27/04,politician,gov. bill richardson
2004,us senator,7/28/04,politician,sen. joe biden
2004,na,7/29/04,na,none
2004,na,7/30/04,na,none
2004,activist,7/6/04,advocacy,ralph nader (show hosted by stephen colbert)
2004,actor,7/7/04,acting,will ferrell
2004,actress,7/8/04,acting,christina applegate
2004,columnist,8/10/04,media,maureen dowd
2004,actor,8/11/04,acting,tom cruise
2004,author,8/12/04,media,bryan keefer
2004,former american senator,8/17/04,politician,norm coleman
2004,actor,8/18/04,acting,burt reynolds
2004,actor,8/19/04,acting,seth green
2004,us representative,8/2/04,politician,rep. henry bonilla
2004,musician,8/23/04,musician,robert smith
2004,secretary of state,8/24/04,politician,john kerry
2004,political figure,8/25/04,politician,ed gillespie
2004,film director,8/3/04,media,spike lee
2004,0,8/30/04,na,(none)
2004,broadcaster,8/31/04,media,ted koppel
2004,film actor,8/4/04,acting,aaron eckhart
2004,actress,8/5/04,acting,natalie portman
2004,us president,8/9/04,politician,bill clinton
2004,assistant to the president for communications,9/1/04,political aide,dan bartlett
2004,actress,9/13/04,acting,drew barrymore
2004,former assistant to the president for communications,9/14/04,political aide,pat buchanan
2004,actor,9/15/04,acting,alec baldwin
2004,actress,9/16/04,acting,gwyneth paltrow
2004,us senator,9/2/04,politician,sen. john mccain
2004,adviser,9/21/04,consultant,richard clarke
2004,former governor of montans,9/22/04,politician,gov. marc racicot
2004,actor,9/23/04,acting,matthew broderick
2004,actress,9/27/04,acting,rosie perez
2004,activist,9/28/04,advocacy,ralph reed
2004,journalist,9/29/04,media,seymour hersh
2004,commentator,9/3/04,media,chris matthews
2004,political figure,9/30/04,politician,wesley clark
2004,former mayor of new york,9/30/04,politician,rudolph giuliani
2005,lawyer,1/10/05,misc,john grisham
2005,actor,1/11/05,acting,samuel l. jackson
2005,actor,1/12/05,acting,dennis quaid
2005,actress,1/13/05,acting,annette bening
2005,journalist,1/17/05,media,brian ross
2005,writer,1/18/05,media,jim wallis
2005,historian,1/19/05,academic,michael beschloss
2005,us senator,1/20/05,politician,sen. joe lieberman
2005,political figure,1/24/05,politician,richard viguerie
2005,journalist,1/25/05,media,seymour hersh
2005,actor,1/26/05,acting,john leguizamo
2005,former governor of new jersey,1/27/05,politician,christine todd whitman
2005,journalist,1/31/05,media,fareed zakaria
2005,actor,1/4/05,acting,paul giamatti
2005,actor,1/5/05,acting,don cheadle
2005,historian,1/6/05,academic,howard zinn
2005,singer-songwriter,10/17/05,musician,dolly parton
2005,television host,10/18/05,media,bill o'reilly
2005,us assistant attorney,10/19/05,government,louis freeh
2005,actor,10/20/05,acting,dwayne the rock johnson
2005,commentator,10/24/05,media,william kristol
2005,united states senator,10/25/05,politician,al franken
2005,biographer,10/26/05,media,doris kearns goodwin
2005,military officer,10/27/05,military,janis karpinski
2005,writer,10/3/05,media,david rakoff
2005,actor,10/31/05,acting,d.l. hughley
2005,actress,10/4/05,acting,cameron diaz
2005,us senator,10/5/05,politician,sen. john edwards
2005,actor,10/6/05,acting,philip seymour hoffman
2005,us senator,11/1/05,politician,sen. barbara boxer
2005,actor,11/10/05,acting,chris elliott
2005,businesswoman,11/14/05,business,martha stewart
2005,actress,11/15/05,acting,rosario dawson
2005,author,11/16/05,media,john hodgman
2005,adviser,11/17/05,consultant,richard clarke
2005,american football wide receiver,11/2/05,athletics,mike wallace
2005,actor,11/28/05,acting,adrien brody
2005,author,11/29/05,media,peggy noonan
2005,lawyer,11/3/05,misc,robert ray
2005,former speaker of the the house,11/30/05,politician,rep. nancy pelosi
2005,us senator,11/7/05,politician,sen. barack obama
2005,us senator,11/8/05,politician,sen. john mccain
2005,actress,11/9/05,acting,keira knightley
2005,rock duo,12/1/05,musician,the white stripes
2005,radio personality,12/13/05,media,howard stern
2005,journalist,12/14/05,media,tom brokaw
2005,actress,12/15/05,acting,sarah jessica parker
2005,former president,12/5/05,politician,jimmy carter
2005,actress,12/6/05,acting,michelle yeoh
2005,author,12/7/05,media,david mccullough
2005,writer,12/8/05,media,ken auletta
2005,singer-songwriter,2/1/05,musician,paula abdul
2005,writer,2/14/05,media,redmond o'hanlon
2005,comedian,2/15/05,comedy,eric idle
2005,actor,2/16/05,acting,alan cumming
2005,consultant,2/17/05,political aide,mark p. mills
2005,journalist,2/2/05,media,anderson cooper
2005,film actress,2/22/05,acting,rachel weisz
2005,journalist,2/23/05,media,peter jennings
2005,actress,2/24/05,acting,christina ricci
2005,former governor of nebraska,2/28/05,politician,ben nelson
2005,journalist,2/3/05,media,joe klein
2005,foreign policy strategist,3/1/05,academic,nancy soderberg
2005,economist,3/10/05,academic,paul krugman
2005,philosopher,3/14/05,academic,harry frankfurt
2005,correspondent,3/15/05,media,tom fenton
2005,singer,3/16/05,musician,al green
2005,television host,3/17/05,media,craig ferguson
2005,actor,3/2/05,acting,the rock
2005,actress,3/21/05,acting,sandra bullock
2005,actress,3/22/05,acting,catherine keener
2005,singer,3/23/05,musician,ozzy osbourne
2005,music producer,3/24/05,musician,rza
2005,former white house press secretary,3/3/05,political aide,ari fleischer
2005,film actress,3/7/05,acting,melissa boyle mahle
2005,journalist,3/8/05,media,brian williams
2005,actor,3/9/05,acting,bruce willis
2005,columnist,4/11/05,media,byron york
2005,american politician,4/12/05,politician,bob dole
2005,journalist,4/13/05,media,john avlon
2005,actor,4/14/05,acting,david duchovny
2005,former united states secretary of labor,4/18/05,politician,robert reich
2005,author,4/19/05,media,sarah vowell
2005,stand-up comedian,4/20/05,comedy,dennis miller
2005,professor,4/21/05,academic,reza aslan
2005,attorney,4/25/05,misc,floyd abrams
2005,rapper,4/26/05,musician,ice cube
2005,author,4/27/05,media,christina hoff sommers
2005,economist,4/28/05,academic,steven levitt
2005,basketball player,4/4/05,athletics,reggie miller
2005,journalist,4/5/05,media,thomas l. friedman
2005,actor,4/6/05,acting,matthew mcconaughey
2005,actress,4/7/05,acting,drew barrymore
2005,comedian,5/10/05,comedy,wanda sykes
2005,television personality,5/11/05,media,al roker
2005,television actress,5/12/05,acting,tracey ullman
2005,former united states senator,5/2/05,politician,zell miller
2005,journalist,5/3/05,media,christiane amanpour
2005,journalist,5/31/05,media,gerald posner
2005,actor,5/4/05,acting,martin short
2005,former governor of pennsylvania,5/5/05,politician,tom ridge
2005,film actress,5/9/05,acting,kathleen turner
2005,singer,6/1/05,musician,bo bice
2005,scholar,6/13/05,academic,larry diamond
2005,actor,6/14/05,acting,will ferrell
2005,professor,6/15/05,academic,flynt leverett
2005,writer,6/16/05,media,kenneth timmerman
2005,actor,6/2/05,acting,russell crowe
2005,musician,6/20/05,musician,ringo starr
2005,singer-songwriter,6/21/05,musician,dwight yoakam
2005,former white house press secretary,6/22/05,political aide,bill moyers
2005,former governor of vermont,6/23/05,politician,howard dean
2005,author,6/27/05,media,hanna rosin
2005,documentary filmmaker,6/28/05,media,morgan spurlock
2005,former u.s. representative,6/6/05,politician,newt gingrich
2005,author,6/7/05,media,steven johnson
2005,former us secretary of defense,6/8/05,politician,colin powell
2005,journalist,6/9/05,media,matt lauer
2005,professor,7/11/05,academic,marci hamilton
2005,author,7/12/05,media,matt taibbi
2005,writer,7/13/05,media,bernard goldberg
2005,journalist,7/14/05,media,michael isikoff
2005,journalist,7/18/05,media,carl bernstein
2005,journalist,7/18/05,media,bob woodward
2005,actor,7/19/05,acting,billy bob thornton
2005,radio host,7/20/05,media,robert f. kennedy jr.
2005,journalist,7/21/05,media,fareed zakaria
2005,us senator,7/25/05,politician,sen. rick santorum
2005,actress,7/26/05,acting,diane lane
2005,sportscaster,7/27/05,media,bob costas
2005,actress,7/28/05,acting,maggie gyllenhaal
2005,journalist,8/10/05,media,john hockenberry
2005,rapper,8/11/05,musician,andr benjamin
2005,actor,8/15/05,acting,steve carell
2005,journalist,8/16/05,media,seymour hersh
2005,novelist,8/17/05,media,john irving
2005,author,8/18/05,media,john h. richardson, jr.
2005,us senator,8/2/05,politician,sen. joe biden
2005,television host,8/22/05,media,chris wallace
2005,film actress,8/23/05,acting,rachel weisz
2005,us senator,8/24/05,politician,sen. trent lott
2005,author,8/25/05,media,christopher hitchens
2005,author,8/3/05,media,john crawford
2005,broadcaster,8/4/05,media,miles o'brien
2005,actor,8/8/05,acting,paul rudd
2005,actress,8/9/05,acting,kate hudson
2005,journalist,9/12/05,media,chris mooney
2005,writer,9/13/05,media,kurt vonnegut
2005,historian,9/14/05,academic,dr. edward j. larson
2005,mathematician,9/14/05,academic,dr. william a. dembski
2005,psychic,9/14/05,misc,ellie crystal
2005,actress,9/15/05,acting,gwyneth paltrow
2005,actor,9/20/05,acting,alan alda
2005,comedian,9/21/05,comedy,ricky gervais
2005,actor,9/22/05,acting,george clooney
2005,author,9/26/05,media,dr. irwin redlener
2005,actor,9/27/05,acting,viggo mortensen
2005,comedian,9/28/05,comedy,jeff garlin
2005,us senator,9/29/05,politician,sen. chuck schumer
2005,doctor,9/6/05,science,dr. marc siegel
2005,actor,9/7/05,acting,samuel l. jackson
2005,journalist,9/8/05,media,brian williams
2006,actor,1/10/06,acting,albert brooks
2006,broadcaster,1/11/06,media,peter bergen
2006,lawyer,1/12/06,misc,edward lazarus
2006,author,1/16/06,media,eugene jarecki
2006,diplomat,1/17/06,government,l. paul bremer
2006,lawyer,1/18/06,misc,r. james woolsey
2006,actor,1/19/06,acting,josh lucas
2006,commentator,1/23/06,media,fred barnes
2006,professor,1/24/06,academic,reza aslan
2006,actor,1/25/06,acting,anthony hopkins
2006,intellectual,1/26/06,academic,bernard-henri lvy
2006,singer,1/30/06,musician,randy jackson
2006,basketball player,1/31/06,athletics,charles barkley
2006,journalist,1/4/06,media,george packer
2006,actor,1/5/06,acting,pierce brosnan
2006,journalist,1/9/06,media,james risen
2006,stand-up comedian,10/10/06,comedy,david cross
2006,television personality,10/11/06,media,lou dobbs
2006,journalist,10/12/06,media,david mark
2006,essayist,10/16/06,media,frank rich
2006,actress,10/17/06,acting,amy sedaris
2006,former governor of missouri,10/18/06,politician,john ashcroft
2006,actress,10/19/06,acting,kirsten dunst
2006,former united states senator,10/2/06,politician,trent lott
2006,stand-up comedian,10/3/06,comedy,dennis miller
2006,basketball player,10/30/06,athletics,lebron james
2006,political scientist,10/31/06,consultant,john mueller
2006,political scientist,10/4/06,consultant,ian bremmer
2006,writer,10/5/06,media,david rakoff
2006,former white house chief of staff,10/9/06,politician,james baker
2006,na,11/1/06,na,none
2006,actress,11/13/06,acting,tina fey
2006,former american senator,11/14/06,politician,john edwards
2006,broadcaster,11/15/06,media,ted koppel
2006,entrepreneur,11/16/06,business,muhammad yunus
2006,actor,11/2/06,acting,sacha baron cohen
2006,mayor of chicago,11/27/06,politician,rahm emanuel
2006,singer-songwriter,11/28/06,musician,tom waits
2006,actor,11/29/06,acting,george clooney
2006,rock duo,11/30/06,musician,tenacious d
2006,comedian,11/6/06,comedy,jerry seinfeld
2006,journalist,11/7/06,media,dan rather
2006,former governor of vermont,11/8/06,politician,howard dean
2006,actor,11/9/06,acting,dustin hoffman
2006,former governor of rhode island,12/11/06,politician,lincoln chafee
2006,journalist,12/12/06,media,fareed zakaria
2006,comedian,12/13/06,comedy,ricky gervais
2006,journalist,12/14/06,media,rajiv chandrasekaran
2006,united states secretary of agriculture,12/18/06,politician,tom vilsack
2006,commentator,12/19/06,media,bill kristol
2006,actor,12/20/06,acting,ben stiller
2006,actor,12/4/06,acting,nathan lane
2006,former us senator,12/5/06,politician,john danforth
2006,author,12/6/06,media,eve herold
2006,high-altitude mountaineer,12/7/06,athletics,ed viesturs
2006,historian,2/1/06,academic,michael beschloss
2006,astronaut,2/13/06,science,astronaut mike mullane
2006,economist,2/14/06,academic,peter tertzakian
2006,actress,2/15/06,acting,julianne moore
2006,actor,2/16/06,acting,ed harris
2006,journalist,2/2/06,media,robert o'harrow, jr.
2006,author,2/21/06,media,sarah vowell
2006,actor,2/22/06,acting,matthew fox
2006,film critic,2/23/06,media,roger ebert
2006,communications consultant,2/7/06,political aide,torie clarke
2006,actor,2/8/06,acting,harrison ford
2006,actor,2/9/06,acting,will arnett
2006,author,3/13/06,media,eric burns
2006,scholar,3/14/06,academic,bart ehrman
2006,actress,3/15/06,acting,natalie portman
2006,actor,3/16/06,acting,vin diesel
2006,actor,3/20/06,acting,clive owen
2006,author,3/21/06,media,georges sada
2006,us senator,3/22/06,politician,senator russ feingold
2006,professor,3/23/06,academic,michael mandelbaum
2006,journalist,3/27/06,media,michael gordon
2006,journalist,3/28/06,media,fareed zakaria
2006,singer,3/29/06,musician,queen latifah
2006,actress,3/30/06,acting,sharon stone
2006,author,3/7/06,media,eugene linden
2006,singer-songwriter,3/8/06,musician,neil young
2006,historian,3/9/06,academic,bruce bartlett
2006,editor,4/17/06,media,jon meacham
2006,journalist,4/18/06,media,ryan nerz
2006,actor,4/19/06,acting,dennis quaid
2006,former united states senator,4/20/06,politician,ted kennedy
2006,israeli official,4/24/06,government,efraim halevy
2006,actor,4/25/06,acting,tom selleck
2006,author,4/26/06,media,kimberley strassel
2006,actor,4/27/06,acting,robin williams
2006,comedian,4/3/06,comedy,ricky gervais
