name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
bill sayles,1943,bro,nl,0,0,0,0.7524116,100,0.7174116,,saylb101
bob malloy,1943,cin,nl,0,0,0,0.7538116,99,0.7188116,,mallb102
bill lee,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,lee-b103
dale matthewson,1943,phi,nl,0,2,0,0.7538116,99,0.7188116,-0.747564,mattd101
cliff melton,1943,ny1,nl,1,1,0,0.7510116,101,0.7160116,-0.2246521,meltc101
hugh east,1943,ny1,nl,0,0,0,0.7510116,101,0.7160116,,easth103
hal gregg,1943,bro,nl,0,0,0,0.7524116,100,0.7174116,,gregh102
boom-boom beck,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,beckb104
joe beggs,1943,cin,nl,13,8,3,0.7538116,99,0.7188116,-1.089422,beggj101
ernie white,1943,sln,nl,1,1,0,0.7510116,101,0.7160116,-0.2246521,white103
bill brandt,1943,pit,nl,0,1,1,0.7482116,103,0.7132116,-0.37087,branb101
johnnie wittig,1943,ny1,nl,3,1,0,0.7510116,101,0.7160116,0.0706959,wittj101
bob chipman,1943,bro,nl,0,0,0,0.7524116,100,0.7174116,,chipb101
max lanier,1943,sln,nl,7,0,1,0.7510116,101,0.7160116,1.033718,lanim101
hi bithorn,1943,chn,nl,1,0,2,0.7552116,98,0.7202116,0.14549,bithh101
clyde shoun,1943,cin,nl,32,5,6,0.7538116,99,0.7188116,2.810066,shouc101
rube fischer,1943,ny1,nl,3,0,0,0.7510116,101,0.7160116,0.4430219,fiscr101
andy lapihuska,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,lapia101
max macon,1943,bro,nl,8,2,1,0.7524116,100,0.7174116,0.4294599,macom101
newt kimball,1943,bro,nl,2,1,1,0.7524116,100,0.7174116,-0.079162,kimbn101
van mungo,1943,ny1,nl,0,0,1,0.7510116,101,0.7160116,,mungv101
harry gumbert,1943,sln,nl,0,0,0,0.7510116,101,0.7160116,,gumbh101
ace adams,1943,ny1,nl,20,6,4,0.7510116,101,0.7160116,0.7195235,adama101
bill donovan,1943,bsn,nl,3,0,2,0.7524116,100,0.7174116,0.4408379,donob102
johnny gee,1943,pit,nl,0,0,0,0.7482116,103,0.7132116,,gee-j101
nate andrews,1943,bsn,nl,1,1,0,0.7524116,100,0.7174116,-0.226108,andrn101
ben cardoni,1943,bsn,nl,0,0,0,0.7524116,100,0.7174116,,cardb101
johnny allen,1943,ny1,nl,2,1,1,0.7510116,101,0.7160116,-0.076978,allej102
rex barney,1943,bro,nl,0,1,0,0.7524116,100,0.7174116,-0.373054,barnr103
elmer riddle,1943,cin,nl,4,0,1,0.7538116,99,0.7188116,0.5848719,ridde101
howie krist,1943,sln,nl,2,1,1,0.7510116,101,0.7160116,-0.076978,krish101
dick conger,1943,phi,nl,0,0,1,0.7538116,99,0.7188116,,congd101
murry dickson,1943,sln,nl,2,1,0,0.7510116,101,0.7160116,-0.076978,dickm101
ray starr,1943,cin,nl,2,0,0,0.7538116,99,0.7188116,0.292436,starr101
ray prim,1943,chn,nl,0,1,1,0.7552116,98,0.7202116,-0.37451,primr101
danny macfayden,1943,bsn,nl,0,1,0,0.7524116,100,0.7174116,-0.373054,macfd101
harry brecheen,1943,sln,nl,5,0,1,0.7510116,101,0.7160116,0.7383699,brech101
ray martin,1943,bsn,nl,0,0,0,0.7524116,100,0.7174116,,martr103
johnny lanning,1943,pit,nl,5,0,0,0.7482116,103,0.7132116,0.7456499,lannj101
howie pollet,1943,sln,nl,0,0,0,0.7510116,101,0.7160116,,pollh101
fritz ostermueller,1943,bro,nl,0,1,0,0.7524116,100,0.7174116,-0.373054,ostef101
dave odom,1943,bsn,nl,0,0,0,0.7524116,100,0.7174116,,odomd101
manny salvo,1943,bsn,nl,0,0,0,0.7524116,100,0.7174116,,salvm101
al brazle,1943,sln,nl,2,1,0,0.7510116,101,0.7160116,-0.076978,braza101
george jeffcoat,1943,bsn,nl,1,2,0,0.7524116,100,0.7174116,-0.599162,jeffg101
curt davis,1943,bro,nl,7,1,2,0.7524116,100,0.7174116,0.6555678,davic103
lon warneke,1943,chn,nl,1,1,0,0.7552116,98,0.7202116,-0.22902,warnl101
johnny podgajny,1943,pit,nl,0,0,0,0.7482116,103,0.7132116,,podgj101
bill fleming,1943,chn,nl,0,0,0,0.7552116,98,0.7202116,,flemb101
dutch dietz,1943,phi,nl,4,0,0,0.7538116,99,0.7188116,0.5848719,dietd102
rocky stone,1943,cin,nl,2,0,1,0.7538116,99,0.7188116,0.292436,stonr101
paul erickson,1943,chn,nl,0,0,0,0.7552116,98,0.7202116,,ericp101
red munger,1943,sln,nl,2,1,0,0.7510116,101,0.7160116,-0.076978,mungr101
johnny allen,1943,bro,nl,10,1,1,0.7524116,100,0.7174116,1.096406,allej102
bill lohrman,1943,ny1,nl,1,0,0,0.7510116,101,0.7160116,0.147674,lohrb101
rube melton,1943,bro,nl,3,1,1,0.7524116,100,0.7174116,0.0677839,meltr101
max butcher,1943,pit,nl,1,0,0,0.7482116,103,0.7132116,0.14913,butcm101
bill lohrman,1943,bro,nl,0,0,0,0.7524116,100,0.7174116,,lohrb101
dutch dietz,1943,pit,nl,0,2,0,0.7482116,103,0.7132116,-0.74174,dietd102
andy karl,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,karla101
hank wyse,1943,chn,nl,7,2,1,0.7552116,98,0.7202116,0.2694099,wyseh101
john burrows,1943,chn,nl,1,0,0,0.7552116,98,0.7202116,0.14549,burrj101
al javery,1943,bsn,nl,5,2,0,0.7524116,100,0.7174116,-0.0113781,javea101
manny salvo,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,salvm101
dick barrett,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,barrd101
jack niemes,1943,cin,nl,0,0,0,0.7538116,99,0.7188116,,niemj101
kirby higbe,1943,bro,nl,2,2,1,0.7524116,100,0.7174116,-0.4522161,higbk101
ken trinkle,1943,ny1,nl,0,0,1,0.7510116,101,0.7160116,,trink101
jake mooty,1943,chn,nl,0,0,0,0.7552116,98,0.7202116,,mootj101
red barrett,1943,bsn,nl,1,0,1,0.7524116,100,0.7174116,0.146946,barrr101
rogers mckee,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,mcker101
allyn stout,1943,bsn,nl,1,0,0,0.7524116,100,0.7174116,0.146946,stoua101
ed head,1943,bro,nl,15,5,1,0.7524116,100,0.7174116,0.3389196,heade101
johnny podgajny,1943,phi,nl,2,3,0,0.7538116,99,0.7188116,-0.8289101,podgj101
rip sewell,1943,pit,nl,0,1,0,0.7482116,103,0.7132116,-0.37087,sewer101
bobby coombs,1943,ny1,nl,0,0,0,0.7510116,101,0.7160116,,coomb101
claude passeau,1943,chn,nl,0,1,0,0.7552116,98,0.7202116,-0.37451,passc101
george eyrich,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,eyrig101
ed hanyzewski,1943,chn,nl,5,1,0,0.7552116,98,0.7202116,0.3529398,hanye101
hank gornicki,1943,pit,nl,3,1,0,0.7482116,103,0.7132116,0.0765199,gornh101
harry feldman,1943,ny1,nl,0,0,0,0.7510116,101,0.7160116,,feldh101
les webber,1943,bro,nl,15,2,3,0.7524116,100,0.7174116,1.458082,webbl102
jack hallett,1943,pit,nl,0,0,0,0.7482116,103,0.7132116,,hallj105
jack kraus,1943,phi,nl,1,1,0,0.7538116,99,0.7188116,-0.227564,krauj101
kerby farrell,1943,bsn,nl,0,0,0,0.7524116,100,0.7174116,,farrk101
dick barrett,1943,chn,nl,0,0,0,0.7552116,98,0.7202116,,barrd101
newt kimball,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,kimbn101
schoolboy rowe,1943,phi,nl,0,0,0,0.7538116,99,0.7188116,,rowes101
mort cooper,1943,sln,nl,2,0,0,0.7510116,101,0.7160116,0.295348,coopm101
george diehl,1943,bsn,nl,0,0,0,0.7524116,100,0.7174116,,diehg101
lou tost,1943,bsn,nl,0,1,0,0.7524116,100,0.7174116,-0.373054,tostl101
xavier rescigno,1943,pit,nl,3,2,2,0.7482116,103,0.7132116,-0.2943501,rescx101
freddie fitzsimmons,1943,bro,nl,2,1,0,0.7524116,100,0.7174116,-0.079162,fitzf101
si johnson,1943,phi,nl,3,0,1,0.7538116,99,0.7188116,0.4386539,johns103
jim tobin,1943,bsn,nl,0,1,0,0.7524116,100,0.7174116,-0.373054,tobij103
bob klinger,1943,pit,nl,0,0,0,0.7482116,103,0.7132116,,klinb101
bobo newsom,1943,bro,nl,10,4,1,0.7524116,100,0.7174116,-0.0227562,newsb101
wally hebert,1943,pit,nl,0,0,3,0.7482116,103,0.7132116,,hebew101
charlie fuchs,1943,phi,nl,2,1,0,0.7538116,99,0.7188116,-0.081346,fuchc101
ed heusser,1943,cin,nl,0,0,1,0.7538116,99,0.7188116,,heuse101
chris haughey,1943,bro,nl,0,0,0,0.7524116,100,0.7174116,,haugc101
atley donald,1944,nya,al,0,1,0,0.8120148,102,0.7770148,-0.4040477,donaa101
ray poat,1944,cle,al,4,1,1,0.8204148,96,0.7854148,0.0379217,poatr101
hank borowy,1944,nya,al,0,0,0,0.8120148,102,0.7770148,,boroh101
paul calvert,1944,cle,al,0,0,1,0.8204148,96,0.7854148,,calvp101
russ christopher,1944,pha,al,8,0,1,0.8134148,101,0.7784148,0.9217945,chrir101
joe page,1944,nya,al,0,0,0,0.8120148,102,0.7770148,,pagej101
johnny gorsica,1944,det,al,1,0,0,0.8106148,103,0.7756148,0.1166803,gorsj101
steve gromek,1944,cle,al,0,0,0,0.8204148,96,0.7854148,,groms101
bill bevens,1944,nya,al,0,0,0,0.8120148,102,0.7770148,,beveb101
hal newhouser,1944,det,al,2,1,0,0.8106148,103,0.7756148,-0.1699591,newhh101
sandy ullrich,1944,ws1,al,0,0,0,0.8218148,95,0.7868148,,ullrs101
steve roser,1944,nya,al,0,0,0,0.8120148,102,0.7770148,,roses101
alex carrasquel,1944,ws1,al,1,0,0,0.8218148,95,0.7868148,0.1108563,carra101
emmett o'neill,1944,bos,al,0,0,0,0.8148148,100,0.7798148,,oneie102
johnny humphries,1944,cha,al,0,0,0,0.8162148,99,0.7812148,,humpj101
dizzy trout,1944,det,al,5,0,0,0.8106148,103,0.7756148,0.5834015,troud101
eddie lopat,1944,cha,al,0,0,0,0.8162148,99,0.7812148,,lopae101
yank terry,1944,bos,al,0,0,0,0.8148148,100,0.7798148,,terry101
ed klieman,1944,cle,al,0,0,0,0.8204148,96,0.7854148,,kliee101
tiny bonham,1944,nya,al,0,0,0,0.8120148,102,0.7770148,,bonht101
jack kramer,1944,sla,al,0,0,0,0.8050148,107,0.7700148,,kramj101
paul o'dea,1944,cle,al,0,0,0,0.8204148,96,0.7854148,,odeap101
lum harris,1944,pha,al,0,0,0,0.8134148,101,0.7784148,,harrl101
jake wade,1944,cha,al,0,0,0,0.8162148,99,0.7812148,,wadej101
luke hamlin,1944,pha,al,0,1,0,0.8134148,101,0.7784148,-0.4047757,hamll101
pinky woods,1944,bos,al,0,0,0,0.8148148,100,0.7798148,,woodp102
woody wheaton,1944,pha,al,0,0,0,0.8134148,101,0.7784148,,wheaw101
bill zuber,1944,nya,al,1,0,0,0.8120148,102,0.7770148,0.1159523,zubeb101
joe haynes,1944,cha,al,0,0,0,0.8162148,99,0.7812148,,haynj101
jake mooty,1944,det,al,0,0,0,0.8106148,103,0.7756148,,mootj101
joe berry,1944,pha,al,16,5,4,0.8134148,101,0.7784148,-0.1802893,berrj102
al lyons,1944,nya,al,0,0,0,0.8120148,102,0.7770148,,lyona101
tex shirley,1944,sla,al,0,0,0,0.8050148,107,0.7700148,,shirt101
don black,1944,pha,al,0,0,0,0.8134148,101,0.7784148,,blacd101
al hollingsworth,1944,sla,al,0,0,0,0.8050148,107,0.7700148,,holla101
frank barrett,1944,bos,al,8,2,1,0.8148148,100,0.7798148,0.1049632,barrf104
jim bagby,1944,cle,al,0,0,0,0.8204148,96,0.7854148,,bagbj102
early wynn,1944,ws1,al,1,0,0,0.8218148,95,0.7868148,0.1108563,wynne101
bill lefebvre,1944,ws1,al,0,0,0,0.8218148,95,0.7868148,,lefeb101
jug thesenga,1944,ws1,al,0,0,0,0.8218148,95,0.7868148,,thesj101
buck ross,1944,cha,al,4,1,1,0.8162148,99,0.7812148,0.0488416,rossb102
carl scheib,1944,pha,al,0,0,0,0.8134148,101,0.7784148,,schec101
mike ryba,1944,bos,al,5,1,0,0.8148148,100,0.7798148,0.1669778,rybam101
zeb eaton,1944,det,al,0,0,0,0.8106148,103,0.7756148,,eatoz101
boom-boom beck,1944,det,al,1,0,0,0.8106148,103,0.7756148,0.1166803,beckb104
george caster,1944,sla,al,12,2,1,0.8050148,107,0.7700148,0.6342926,castg101
milo candini,1944,ws1,al,0,0,0,0.8218148,95,0.7868148,,candm101
nels potter,1944,sla,al,2,1,0,0.8050148,107,0.7700148,-0.161223,pottn102
thornton lee,1944,cha,al,0,0,0,0.8162148,99,0.7812148,,lee-t101
gordon maltzberger,1944,cha,al,1,2,1,0.8162148,99,0.7812148,-0.698695,maltg101
roy henshaw,1944,det,al,0,0,0,0.8106148,103,0.7756148,,hensr101
jim turner,1944,nya,al,5,2,1,0.8120148,102,0.7770148,-0.2283338,turnj102
joe heving,1944,cle,al,3,0,1,0.8204148,96,0.7854148,0.334753,hevij101
clem hausmann,1944,bos,al,0,0,0,0.8148148,100,0.7798148,,hausc101
denny galehouse,1944,sla,al,0,0,1,0.8050148,107,0.7700148,,galed101
sig jakucki,1944,sla,al,5,0,0,0.8050148,107,0.7700148,0.5979616,jakus101
vern curtis,1944,ws1,al,0,0,0,0.8218148,95,0.7868148,,curtv101
bobo newsom,1944,pha,al,1,0,0,0.8134148,101,0.7784148,0.1152243,newsb101
johnny johnson,1944,nya,al,2,0,1,0.8120148,102,0.7770148,0.2319046,johnj103
sam zoldak,1944,sla,al,0,0,0,0.8050148,107,0.7700148,,zolds101
eddie lake,1944,bos,al,0,0,0,0.8148148,100,0.7798148,,lakee101
red embree,1944,cle,al,0,0,0,0.8204148,96,0.7854148,,embrr101
bob muncrief,1944,sla,al,0,0,0,0.8050148,107,0.7700148,,muncb101
lefty west,1944,sla,al,0,0,0,0.8050148,107,0.7700148,,westl101
mike naymick,1944,cle,al,0,0,0,0.8204148,96,0.7854148,,naymm101
cliff melton,1944,ny1,nl,0,1,0,0.7493788,101,0.7143788,-0.3714769,meltc101
rube fischer,1944,ny1,nl,2,3,0,0.7493788,101,0.7143788,-0.8173848,fiscr101
bill lee,1944,phi,nl,0,0,0,0.7521788,99,0.7171788,,lee-b103
lou polli,1944,ny1,nl,6,0,0,0.7493788,101,0.7143788,0.8911382,polll101
whitey miller,1944,ny1,nl,0,0,1,0.7493788,101,0.7143788,,millw106
paul erickson,1944,chn,nl,3,0,0,0.7549788,97,0.7199787,0.4368331,ericp101
ed head,1944,bro,nl,0,0,0,0.7535788,98,0.7185788,,heade101
les webber,1944,bro,nl,22,3,4,0.7535788,98,0.7185788,2.098476,webbl102
fritz ostermueller,1944,pit,nl,1,0,0,0.7465788,103,0.7115788,0.149979,ostef101
ira hutchinson,1944,bsn,nl,14,5,0,0.7423788,106,0.7073787,0.2910979,hutci101
andy karl,1944,phi,nl,9,4,1,0.7521788,99,0.7171788,-0.1681283,karla101
chet covington,1944,phi,nl,3,1,1,0.7521788,99,0.7171788,0.0682682,covic101
ed hanyzewski,1944,chn,nl,0,0,0,0.7549788,97,0.7199787,,hanye101
tom sunkel,1944,bro,nl,0,1,2,0.7535788,98,0.7185788,-0.373661,sunkt101
ray starr,1944,pit,nl,3,0,0,0.7465788,103,0.7115788,0.4499371,starr101
al verdel,1944,phi,nl,0,0,0,0.7521788,99,0.7171788,,verda101
xavier rescigno,1944,pit,nl,7,4,1,0.7465788,103,0.7115788,-0.4302307,rescx101
bob chipman,1944,bro,nl,1,1,0,0.7535788,98,0.7185788,-0.2273219,chipb101
clyde shoun,1944,cin,nl,11,4,1,0.7549788,97,0.7199787,0.1041659,shouc101
rube melton,1944,bro,nl,6,0,2,0.7535788,98,0.7185788,0.8780343,meltr101
bob ferguson,1944,cin,nl,0,0,2,0.7549788,97,0.7199787,,fergb102
johnny gee,1944,pit,nl,0,0,0,0.7465788,103,0.7115788,,gee-j101
johnny allen,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,allej102
ben cardoni,1944,bsn,nl,5,2,0,0.7423788,106,0.7073787,0.0251414,cardb101
charley schanz,1944,phi,nl,5,0,0,0.7521788,99,0.7171788,0.7353352,schac101
bill lohrman,1944,bro,nl,0,0,1,0.7535788,98,0.7185788,,lohrb101
bill lohrman,1944,cin,nl,0,0,0,0.7549788,97,0.7199787,,lohrb101
freddy schmidt,1944,sln,nl,3,0,0,0.7521788,99,0.7171788,0.4412011,schmf101
ewald pyle,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,pylee101
hal gregg,1944,bro,nl,2,0,0,0.7535788,98,0.7185788,0.2926781,gregh102
fritz ostermueller,1944,bro,nl,1,1,0,0.7535788,98,0.7185788,-0.2273219,ostef101
johnny hutchings,1944,bsn,nl,0,1,0,0.7423788,106,0.7073787,-0.367837,hutcj101
jim hickey,1944,bsn,nl,0,0,0,0.7423788,106,0.7073787,,hickj107
frank seward,1944,ny1,nl,0,1,0,0.7493788,101,0.7143788,-0.3714769,sewaf101
curt davis,1944,bro,nl,2,0,2,0.7535788,98,0.7185788,0.2926781,davic103
al jurisich,1944,sln,nl,6,1,0,0.7521788,99,0.7171788,0.5094693,juria101
hy vandenberg,1944,chn,nl,4,1,0,0.7549788,97,0.7199787,0.2080553,vandh101
hank miklos,1944,chn,nl,0,0,0,0.7549788,97,0.7199787,,miklh101
howie fox,1944,cin,nl,0,0,0,0.7549788,97,0.7199787,,fox-h101
preacher roe,1944,pit,nl,2,0,0,0.7465788,103,0.7115788,0.2999581,roe-p101
charlie fuchs,1944,bro,nl,0,1,0,0.7535788,98,0.7185788,-0.373661,fuchc101
johnny gee,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,gee-j101
harry gumbert,1944,sln,nl,0,0,0,0.7521788,99,0.7171788,,gumbh101
bill voiselle,1944,ny1,nl,1,0,0,0.7493788,101,0.7143788,0.148523,voisb101
harry brecheen,1944,sln,nl,6,3,0,0.7521788,99,0.7171788,-0.2363965,brech101
red barrett,1944,bsn,nl,1,2,3,0.7423788,106,0.7073787,-0.5835108,barrr101
stan klopp,1944,bsn,nl,2,2,0,0.7423788,106,0.7073787,-0.4313478,klops101
jim tobin,1944,bsn,nl,2,1,0,0.7423788,106,0.7073787,-0.0635108,tobij103
charlie osgood,1944,bro,nl,0,0,0,0.7535788,98,0.7185788,,osgoc101
frank rosso,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,rossf101
john wells,1944,bro,nl,0,0,0,0.7535788,98,0.7185788,,wellj101
joe nuxhall,1944,cin,nl,0,0,0,0.7549788,97,0.7199787,,nuxhj101
red lynn,1944,chn,nl,0,0,0,0.7549788,97,0.7199787,,lynnr101
ken brondell,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,bronk101
red munger,1944,sln,nl,3,0,1,0.7521788,99,0.7171788,0.4412011,mungr101
mack stewart,1944,chn,nl,0,0,0,0.7549788,97,0.7199787,,stewm101
andy hansen,1944,ny1,nl,4,0,0,0.7493788,101,0.7143788,0.5940921,hansa101
rogers mckee,1944,phi,nl,0,0,0,0.7521788,99,0.7171788,,mcker101
ted wilks,1944,sln,nl,4,2,2,0.7521788,99,0.7171788,-0.1575977,wilkt101
bob barthelson,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,bartb103
wes flowers,1944,bro,nl,0,1,1,0.7535788,98,0.7185788,-0.373661,floww101
max butcher,1944,pit,nl,0,0,0,0.7465788,103,0.7115788,,butcm101
kent peterson,1944,cin,nl,0,0,0,0.7549788,97,0.7199787,,petek101
tommy de la cruz,1944,cin,nl,3,0,0,0.7549788,97,0.7199787,0.4368331,delat102
cookie cuccurullo,1944,pit,nl,7,1,2,0.7465788,103,0.7115788,0.6798322,cuccc101
bill fleming,1944,chn,nl,4,0,0,0.7549788,97,0.7199787,0.5824442,flemb101
tommy warren,1944,bro,nl,1,1,0,0.7535788,98,0.7185788,-0.2273219,warrt101
bob chipman,1944,chn,nl,3,1,0,0.7549788,97,0.7199787,0.0624442,chipb101
jim konstanty,1944,cin,nl,1,0,0,0.7549788,97,0.7199787,0.145611,konsj101
blix donnelly,1944,sln,nl,4,1,0,0.7521788,99,0.7171788,0.2153352,donnb101
deacon donahue,1944,phi,nl,0,2,0,0.7521788,99,0.7171788,-0.7458659,donad101
paul derringer,1944,chn,nl,3,2,0,0.7549788,97,0.7199787,-0.3119447,derrp101
nick strincevich,1944,pit,nl,3,0,1,0.7465788,103,0.7115788,0.4499371,strin101
jake eisenhart,1944,cin,nl,0,0,0,0.7549788,97,0.7199787,,eisej101
john burrows,1944,chn,nl,0,0,0,0.7549788,97,0.7199787,,burrj101
buck fausett,1944,cin,nl,0,0,0,0.7549788,97,0.7199787,,fausb101
nate andrews,1944,bsn,nl,1,0,1,0.7423788,106,0.7073787,0.1521631,andrn101
bucky walters,1944,cin,nl,2,0,1,0.7549788,97,0.7199787,0.2912221,waltb102
dale matthewson,1944,phi,nl,0,0,0,0.7521788,99,0.7171788,,mattd101
ed heusser,1944,cin,nl,6,0,1,0.7549788,97,0.7199787,0.8736663,heuse101
al javery,1944,bsn,nl,4,0,0,0.7423788,106,0.7073787,0.6086522,javea101
ralph branca,1944,bro,nl,2,2,0,0.7535788,98,0.7185788,-0.4546438,branr103
cal mclish,1944,bro,nl,1,0,3,0.7535788,98,0.7185788,0.146339,mclic101
jack franklin,1944,bro,nl,0,0,0,0.7535788,98,0.7185788,,franj102
carl lindquist,1944,bsn,nl,0,0,0,0.7423788,106,0.7073787,,lindc103
vern kennedy,1944,phi,nl,3,1,0,0.7521788,99,0.7171788,0.0682682,kennv101
claude passeau,1944,chn,nl,2,1,1,0.7549788,97,0.7199787,-0.0831668,passc101
harry gumbert,1944,cin,nl,9,2,0,0.7549788,97,0.7199787,0.5617215,gumbh101
claude crocker,1944,bro,nl,0,0,0,0.7535788,98,0.7185788,,crocc101
george woodend,1944,bsn,nl,0,0,0,0.7423788,106,0.7073787,,woodg102
bob katz,1944,cin,nl,0,0,1,0.7549788,97,0.7199787,,katzb101
dale alderson,1944,chn,nl,0,0,0,0.7549788,97,0.7199787,,alded101
walter ockey,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,ockew101
max lanier,1944,sln,nl,2,0,1,0.7521788,99,0.7171788,0.2941341,lanim101
harry feldman,1944,ny1,nl,2,1,2,0.7493788,101,0.7143788,-0.0744309,feldh101
ken raffensberger,1944,phi,nl,0,3,0,0.7521788,99,0.7171788,-1.118799,raffk101
bob malloy,1944,cin,nl,1,1,0,0.7549788,97,0.7199787,-0.2287779,mallb102
clyde king,1944,bro,nl,0,0,0,0.7535788,98,0.7185788,,kingc101
ben chapman,1944,bro,nl,0,1,0,0.7535788,98,0.7185788,-0.373661,chapb102
lou lucier,1944,phi,nl,0,0,0,0.7521788,99,0.7171788,,lucil101
harry shuman,1944,phi,nl,0,0,0,0.7521788,99,0.7171788,,shumh101
mike naymick,1944,sln,nl,0,0,0,0.7521788,99,0.7171788,,naymm101
jack brewer,1944,ny1,nl,0,0,0,0.7493788,101,0.7143788,,brewj101
chink zachary,1944,bro,nl,0,0,0,0.7535788,98,0.7185788,,zachc102
hank wyse,1944,chn,nl,4,1,0,0.7549788,97,0.7199787,0.2080553,wyseh101
barney mussill,1944,phi,nl,0,1,1,0.7521788,99,0.7171788,-0.372933,mussb101
ace adams,1944,ny1,nl,19,5,5,0.7493788,101,0.7143788,0.9645531,adama101
arnold carter,1944,cin,nl,4,1,4,0.7549788,97,0.7199787,0.2080553,carta101
dick barrett,1944,phi,nl,5,3,1,0.7521788,99,0.7171788,-0.3834637,barrd101
art herring,1944,bro,nl,3,3,2,0.7535788,98,0.7185788,-0.6819657,herra101
woody rich,1944,bsn,nl,0,0,1,0.7423788,106,0.7073787,,richw101
rip sewell,1944,pit,nl,1,0,0,0.7465788,103,0.7115788,0.149979,sewer101
joe vitelli,1944,pit,nl,0,0,0,0.7465788,103,0.7115788,,vitej101
mike ryba,1945,bos,al,4,0,3,0.8025216,101,0.7675216,0.4835552,rybam101
eddie carnett,1945,cle,al,0,0,0,0.8095216,96,0.7745215,,carne101
lefty west,1945,sla,al,2,0,1,0.7955216,106,0.7605215,0.2490576,westl101
allie reynolds,1945,cle,al,1,2,3,0.8095216,96,0.7745215,-0.6882536,reyna102
wally holborow,1945,ws1,al,2,1,0,0.8151216,92,0.7801216,-0.1769896,holbw101
frank papish,1945,cha,al,4,2,0,0.8067216,98,0.7717215,-0.3277712,papif101
myril hoag,1945,cle,al,0,0,0,0.8095216,96,0.7745215,,hoagm101
earl henry,1945,cle,al,0,1,0,0.8095216,96,0.7745215,-0.4027512,henre101
art houtteman,1945,det,al,0,0,0,0.7969216,105,0.7619215,,houta101
marino pieretti,1945,ws1,al,6,3,1,0.8151216,92,0.7801216,-0.5309688,pierm101
dee sanders,1945,sla,al,0,0,0,0.7955216,106,0.7605215,,sandd101
mickey haefner,1945,ws1,al,10,2,0,0.8151216,92,0.7801216,0.3320413,haefm101
sandy ullrich,1945,ws1,al,8,1,1,0.8151216,92,0.7801216,0.5090311,ullrs101
yank terry,1945,bos,al,0,0,0,0.8025216,101,0.7675216,,terry101
jim wilson,1945,bos,al,0,0,0,0.8025216,101,0.7675216,,wilsj104
jack kramer,1945,sla,al,0,0,0,0.7955216,106,0.7605215,,kramj101
woody crowson,1945,pha,al,0,0,0,0.8025216,101,0.7675216,,croww101
don black,1945,pha,al,4,1,0,0.8025216,101,0.7675216,0.084444,blacd101
cliff fannin,1945,sla,al,0,0,0,0.7955216,106,0.7605215,,fannc101
dick fowler,1945,pha,al,0,0,0,0.8025216,101,0.7675216,,fowld101
johnny niggeling,1945,ws1,al,0,0,1,0.8151216,92,0.7801216,,niggj101
zeb eaton,1945,det,al,0,0,0,0.7969216,105,0.7619215,,eatoz101
al gettel,1945,nya,al,1,0,1,0.7997216,103,0.7647216,0.1223448,getta101
steve gerkin,1945,pha,al,4,2,0,0.8025216,101,0.7675216,-0.3146672,gerks101
sam zoldak,1945,sla,al,0,0,1,0.7955216,106,0.7605215,,zolds101
steve roser,1945,nya,al,0,0,0,0.7997216,103,0.7647216,,roses101
buck ross,1945,cha,al,0,0,0,0.8067216,98,0.7717215,,rossb102
jesse flores,1945,pha,al,7,2,1,0.8025216,101,0.7675216,0.0479992,florj101
hal newhouser,1945,det,al,0,0,1,0.7969216,105,0.7619215,,newhh101
stubby overmire,1945,det,al,1,0,0,0.7969216,105,0.7619215,0.1238008,overs101
armando roche,1945,ws1,al,0,0,0,0.8151216,92,0.7801216,,rocha101
sig jakucki,1945,sla,al,0,0,0,0.7955216,106,0.7605215,,jakus101
dutch leonard,1945,ws1,al,4,0,0,0.8151216,92,0.7801216,0.4573472,leond103
dave ferriss,1945,bos,al,1,0,0,0.8025216,101,0.7675216,0.1208888,ferrd101
earl jones,1945,sla,al,0,0,0,0.7955216,106,0.7605215,,jonee102
jim turner,1945,nya,al,7,2,2,0.7997216,103,0.7647216,0.0611031,turnj102
pete center,1945,cle,al,1,1,1,0.8095216,96,0.7745215,-0.2855024,centp101
pinky woods,1945,bos,al,2,0,0,0.8025216,101,0.7675216,0.2417776,woodp102
lou knerr,1945,pha,al,0,0,0,0.8025216,101,0.7675216,,knerl101
les mueller,1945,det,al,2,0,1,0.7969216,105,0.7619215,0.2476016,muell101
